"","State","Region","Race","Population","Group"
"129","New York","Northeast","Hispanic",19.3,"Population"
"130","North Carolina","South","Hispanic",9.7,"Population"
"131","North Dakota","Midwest","Hispanic",4,"Population"
"132","Ohio","Midwest","Hispanic",4,"Population"
"133","Oklahoma","South","Hispanic",11.1,"Population"
"134","Oregon","West","Hispanic",13.4,"Population"
"135","Pennsylvania","Northeast","Hispanic",7.8,"Population"
"136","Rhode Island","Northeast","Hispanic",16.6,"Population"
"137","South Carolina","South","Hispanic",5.7,"Population"
"138","South Dakota","Midwest","Hispanic",3.7,"Population"
"139","Tennessee","South","Hispanic",5.7,"Population"
"140","Texas","South","Hispanic",40,"Population"
"141","Utah","West","Hispanic",14.4,"Population"
"142","Vermont","Northeast","Hispanic",1.8,"Population"
"143","Virginia","South","Hispanic",9.6,"Population"
"144","Washington","West","Hispanic",13,"Population"
"145","West Virginia","South","Hispanic",1.4,"Population"
"146","Wisconsin","Midwest","Hispanic",7.1,"Population"
"147","Wyoming","West","Hispanic",10.1,"Population"
"148","Alabama","South","NHA",1.4,"Population"
"149","Alaska","West","NHA",6,"Population"
"150","Arizona","West","NHA",3.3,"Population"
"151","Arkansas","South","NHA",1.6,"Population"
"152","California","West","NHA",14.7,"Population"
"153","Colorado","West","NHA",3.2,"Population"
"154","Connecticut","Northeast","NHA",4.6,"Population"
"155","Delaware","South","NHA",3.9,"Population"
"156","District of Columbia","South","NHA",3.7,"Population"
"157","Georgia","South","NHA",4.1,"Population"
"158","Hawaii","West","NHA",39.4,"Population"
"159","Idaho","West","NHA",1.2,"Population"
"160","Illinois","Midwest","NHA",5.6,"Population"
"161","Indiana","Midwest","NHA",2.4,"Population"
"162","Iowa","Midwest","NHA",2.3,"Population"
"163","Kansas","Midwest","NHA",2.8,"Population"
"164","Kentucky","South","NHA",1.6,"Population"
"165","Louisiana","South","NHA",1.7,"Population"
"166","Maine","Northeast","NHA",1.1,"Population"
"167","Maryland","South","NHA",6.4,"Population"
"168","Massachusetts","Northeast","NHA",6.7,"Population"
"169","Michigan","Midwest","NHA",3.2,"Population"
"170","Minnesota","Midwest","NHA",4.9,"Population"
"171","Mississippi","South","NHA",1,"Population"
"172","Missouri","Midwest","NHA",2.1,"Population"
"173","Nebraska","Midwest","NHA",2.4,"Population"
"174","Nevada","West","NHA",8.5,"Population"
"175","New Hampshire","Northeast","NHA",2.6,"Population"
"176","New Jersey","Northeast","NHA",9.6,"Population"
"177","New Mexico","West","NHA",1.6,"Population"
"178","North Carolina","South","NHA",2.9,"Population"
"179","Ohio","Midwest","NHA",2.3,"Population"
"180","Oklahoma","South","NHA",2.1,"Population"
"181","Oregon","West","NHA",4.7,"Population"
"182","Pennsylvania","Northeast","NHA",3.5,"Population"
"183","Rhode Island","Northeast","NHA",3.3,"Population"
"184","South Carolina","South","NHA",1.7,"Population"
"185","South Dakota","Midwest","NHA",1.3,"Population"
"186","Tennessee","South","NHA",1.8,"Population"
"187","Texas","South","NHA",5,"Population"
"188","Utah","West","NHA",2.3,"Population"
"189","Vermont","Northeast","NHA",1.6,"Population"
"190","Virginia","South","NHA",6.7,"Population"
"191","Washington","West","NHA",8.9,"Population"
"192","Wisconsin","Midwest","NHA",3,"Population"
"193","Wyoming","West","NHA",0.6,"Population"
"194","Alabama","All Regions","NHW",65.4,"Population"
"195","Alaska","All Regions","NHW",60,"Population"
"196","Arizona","All Regions","NHW",54.2,"Population"
"197","Arkansas","All Regions","NHW",72.1,"Population"
"198","California","All Regions","NHW",36.4,"Population"
"199","Colorado","All Regions","NHW",67.8,"Population"
"200","Connecticut","All Regions","NHW",65.7,"Population"
"201","Delaware","All Regions","NHW",61.4,"Population"
"202","District of Columbia","All Regions","NHW",36.7,"Population"
"203","Florida","All Regions","NHW",53,"Population"
"204","Georgia","All Regions","NHW",52,"Population"
"205","Hawaii","All Regions","NHW",20.4,"Population"
"206","Idaho","All Regions","NHW",81.6,"Population"
"207","Illinois","All Regions","NHW",60.9,"Population"
"208","Indiana","All Regions","NHW",78.6,"Population"
"209","Iowa","All Regions","NHW",85.3,"Population"
"210","Kansas","All Regions","NHW",75.7,"Population"
"211","Kentucky","All Regions","NHW",84.5,"Population"
"212","Louisiana","All Regions","NHW",58.8,"Population"
"213","Maine","All Regions","NHW",93.2,"Population"
"214","Maryland","All Regions","NHW",49.9,"Population"
"215","Massachusetts","All Regions","NHW",70.5,"Population"
"216","Michigan","All Regions","NHW",74.9,"Population"
"217","Minnesota","All Regions","NHW",79.1,"Population"
"218","Mississippi","All Regions","NHW",56.6,"Population"
"219","Missouri","All Regions","NHW",79.4,"Population"
"220","Montana","All Regions","NHW",86.1,"Population"
"221","Nebraska","All Regions","NHW",78.5,"Population"
"222","Nevada","All Regions","NHW",47.8,"Population"
"223","New Hampshire","All Regions","NHW",89.8,"Population"
"224","New Jersey","All Regions","NHW",54.5,"Population"
"225","New Mexico","All Regions","NHW",36.7,"Population"
"226","North Carolina","All Regions","NHW",62.7,"Population"
"227","Ohio","All Regions","NHW",78.6,"Population"
"228","Oklahoma","All Regions","NHW",65,"Population"
"229","Oregon","All Regions","NHW",75,"Population"
"230","Pennsylvania","All Regions","NHW",76,"Population"
"231","Rhode Island","All Regions","NHW",70.5,"Population"
"232","South Carolina","All Regions","NHW",63.7,"Population"
"233","South Dakota","All Regions","NHW",81.9,"Population"
"234","Tennessee","All Regions","NHW",73.6,"Population"
"235","Texas","All Regions","NHW",41.1,"Population"
"236","Utah","All Regions","NHW",77.8,"Population"
"237","Vermont","All Regions","NHW",92.8,"Population"
"238","Virginia","All Regions","NHW",61.3,"Population"
"239","Washington","All Regions","NHW",67.5,"Population"
"240","West Virginia","All Regions","NHW",92.5,"Population"
"241","Wisconsin","All Regions","NHW",81.1,"Population"
"242","Wyoming","All Regions","NHW",83.8,"Population"
"243","Alabama","All Regions","NHB",26.5,"Population"
"244","Alaska","All Regions","NHB",2.2,"Population"
"245","Arizona","All Regions","NHB",4.3,"Population"
"246","Arkansas","All Regions","NHB",15.2,"Population"
"247","California","All Regions","NHB",5.3,"Population"
"248","Colorado","All Regions","NHB",3.8,"Population"
"249","Connecticut","All Regions","NHB",10,"Population"
"250","Delaware","All Regions","NHB",21.8,"Population"
"251","District of Columbia","All Regions","NHB",45,"Population"
"252","Florida","All Regions","NHB",15,"Population"
"253","Georgia","All Regions","NHB",31.3,"Population"
"254","Hawaii","All Regions","NHB",1.2,"Population"
"255","Idaho","All Regions","NHB",0.7,"Population"
"256","Illinois","All Regions","NHB",13.6,"Population"
"257","Indiana","All Regions","NHB",9.2,"Population"
"258","Iowa","All Regions","NHB",3.9,"Population"
"259","Kansas","All Regions","NHB",5.5,"Population"
"260","Kentucky","All Regions","NHB",8,"Population"
"261","Louisiana","All Regions","NHB",31.9,"Population"
"262","Maine","All Regions","NHB",1.4,"Population"
"263","Maryland","All Regions","NHB",29.6,"Population"
"264","Massachusetts","All Regions","NHB",7,"Population"
"265","Michigan","All Regions","NHB",13.4,"Population"
"266","Minnesota","All Regions","NHB",6.4,"Population"
"267","Mississippi","All Regions","NHB",37.6,"Population"
"268","Missouri","All Regions","NHB",11.2,"Population"
"269","Nebraska","All Regions","NHB",4.8,"Population"
"270","Nevada","All Regions","NHB",9.2,"Population"
"271","New Hampshire","All Regions","NHB",1.3,"Population"
"272","New Jersey","All Regions","NHB",12.4,"Population"
"273","New Mexico","All Regions","NHB",1.7,"Population"
"274","North Carolina","All Regions","NHB",20.9,"Population"
"275","Ohio","All Regions","NHB",12.2,"Population"
"276","Oklahoma","All Regions","NHB",6.9,"Population"
"277","Oregon","All Regions","NHB",1.8,"Population"
"278","Pennsylvania","All Regions","NHB",10.4,"Population"
"279","Rhode Island","All Regions","NHB",5.9,"Population"
"280","South Carolina","All Regions","NHB",26.2,"Population"
"281","South Dakota","All Regions","NHB",2.2,"Population"
"282","Tennessee","All Regions","NHB",16.4,"Population"
"283","Texas","All Regions","NHB",11.7,"Population"
"284","Utah","All Regions","NHB",1,"Population"
"285","Virginia","All Regions","NHB",18.9,"Population"
"286","Washington","All Regions","NHB",3.8,"Population"
"287","West Virginia","All Regions","NHB",3.2,"Population"
"288","Wisconsin","All Regions","NHB",6.2,"Population"
"289","Wyoming","All Regions","NHB",1,"Population"
"290","Alabama","All Regions","Hispanic",4.4,"Population"
"291","Alaska","All Regions","Hispanic",7,"Population"
"292","Arizona","All Regions","Hispanic",31.8,"Population"
"293","Arkansas","All Regions","Hispanic",7.8,"Population"
"294","California","All Regions","Hispanic",39.5,"Population"
