"","State","Region","Race","Population","Group"
"517","Rhode Island","Northeast","Hispanic",45.1224407868326,"Infection"
"518","South Carolina","South","Hispanic",10.9023719974864,"Infection"
"519","South Dakota","Midwest","Hispanic",6.9543079190674,"Infection"
"520","Tennessee","South","Hispanic",14.943587381994,"Infection"
"521","Texas","South","Hispanic",45.0076413652573,"Infection"
"522","Utah","West","Hispanic",35.2139841448228,"Infection"
"523","Vermont","Northeast","Hispanic",3.38496844520941,"Infection"
"524","Virginia","South","Hispanic",29.7987324426173,"Infection"
"525","Washington","West","Hispanic",41.2379610054029,"Infection"
"526","Wisconsin","Midwest","Hispanic",18.0019276204123,"Infection"
"527","Wyoming","West","Hispanic",14.5920066611157,"Infection"
"528","Alabama","South","NHA",0.59266602730574,"Infection"
"529","Alaska","West","NHA",5.3693407466243,"Infection"
"530","Arizona","West","NHA",1.50665919342355,"Infection"
"531","Arkansas","South","NHA",1.29145365488076,"Infection"
"532","California","West","NHA",5.52758925362141,"Infection"
"533","Colorado","West","NHA",2.29381355061796,"Infection"
"534","Connecticut","Northeast","NHA",2.07937643373375,"Infection"
"535","Delaware","South","NHA",1.43233280674039,"Infection"
"536","District of Columbia","South","NHA",1.6255899318301,"Infection"
"537","Georgia","South","NHA",2.13425925925926,"Infection"
"538","Hawaii","West","NHA",35.2350524874487,"Infection"
"539","Idaho","West","NHA",1.10775427995972,"Infection"
"540","Illinois","Midwest","NHA",2.99957155489111,"Infection"
"541","Indiana","Midwest","NHA",1.42776688498602,"Infection"
"542","Iowa","Midwest","NHA",3.57363156059753,"Infection"
"543","Kansas","Midwest","NHA",3.02547770700637,"Infection"
"544","Kentucky","South","NHA",1.1090573012939,"Infection"
"545","Louisiana","South","NHA",5.55833984857901,"Infection"
"546","Maine","Northeast","NHA",2.39983729916616,"Infection"
"547","Maryland","South","NHA",2.22981970665735,"Infection"
"548","Massachusetts","Northeast","NHA",3.08450674930843,"Infection"
"549","Michigan","Midwest","NHA",2.25223683985424,"Infection"
"550","Minnesota","Midwest","NHA",5.84169181608379,"Infection"
"551","Mississippi","South","NHA",0.421102718134777,"Infection"
"552","Missouri","Midwest","NHA",1.23267833806233,"Infection"
"553","Nebraska","Midwest","NHA",4.70519041317453,"Infection"
"554","Nevada","West","NHA",7.62591372129201,"Infection"
"555","New Hampshire","Northeast","NHA",3.08008213552361,"Infection"
"556","New Jersey","Northeast","NHA",5.03116418625184,"Infection"
"557","New Mexico","West","NHA",0.749713779222218,"Infection"
"558","North Carolina","South","NHA",1.94361127774445,"Infection"
"559","Ohio","Midwest","NHA",2.80142052124912,"Infection"
"560","Oklahoma","South","NHA",4.01734022423678,"Infection"
"561","Oregon","West","NHA",3.30491847642243,"Infection"
"562","Pennsylvania","Northeast","NHA",3.30958586736171,"Infection"
"563","Rhode Island","Northeast","NHA",1.94700923323966,"Infection"
"564","South Carolina","South","NHA",1.31683846218779,"Infection"
"565","South Dakota","Midwest","NHA",3.60444861315825,"Infection"
"566","Tennessee","South","NHA",1.07216446152665,"Infection"
"567","Texas","South","NHA",1.70020376974019,"Infection"
"568","Utah","West","NHA",2.51344045196367,"Infection"
"569","Vermont","Northeast","NHA",3.78657487091222,"Infection"
"570","Virginia","South","NHA",3.87375813634806,"Infection"
"571","Washington","West","NHA",4.8994932715863,"Infection"
"572","Wisconsin","Midwest","NHA",2.56731745178817,"Infection"
"573","Wyoming","West","NHA",0.728559533721898,"Infection"
"574","Alabama","All Regions","NHW",50.9186323423239,"Infection"
"575","Alaska","All Regions","NHW",45.0039714058777,"Infection"
"576","Arizona","All Regions","NHW",36.2005231270184,"Infection"
"577","Arkansas","All Regions","NHW",63.7335724418511,"Infection"
"578","California","All Regions","NHW",17.1447694358913,"Infection"
"579","Colorado","All Regions","NHW",44.7824300729227,"Infection"
"580","Connecticut","All Regions","NHW",49.2957746478873,"Infection"
"581","Delaware","All Regions","NHW",39.9578725645076,"Infection"
"582","District of Columbia","All Regions","NHW",21.8864708966964,"Infection"
"583","Florida","All Regions","NHW",33.9968343536244,"Infection"
"584","Georgia","All Regions","NHW",41.7794612794613,"Infection"
"585","Hawaii","All Regions","NHW",15.9440133881028,"Infection"
"586","Idaho","All Regions","NHW",74.7122716155949,"Infection"
"587","Illinois","All Regions","NHW",39.4757472720809,"Infection"
"588","Indiana","All Regions","NHW",68.3993158399733,"Infection"
"589","Iowa","All Regions","NHW",84.5991900662429,"Infection"
"590","Kansas","All Regions","NHW",80.6397645730872,"Infection"
"591","Kentucky","All Regions","NHW",80.4603877401883,"Infection"
"592","Louisiana","All Regions","NHW",43.5338692540545,"Infection"
"593","Maine","All Regions","NHW",73.9068537726256,"Infection"
"594","Maryland","All Regions","NHW",29.5883191824939,"Infection"
"595","Massachusetts","All Regions","NHW",43.3546870775182,"Infection"
"596","Michigan","All Regions","NHW",58.5615793885686,"Infection"
"597","Minnesota","All Regions","NHW",54.1485442925617,"Infection"
"598","Mississippi","All Regions","NHW",42.0650686968417,"Infection"
"599","Missouri","All Regions","NHW",71.180992971261,"Infection"
"600","Montana","All Regions","NHW",71.9279784870806,"Infection"
"601","Nebraska","All Regions","NHW",81.1645346272607,"Infection"
"602","Nevada","All Regions","NHW",28.2705785925765,"Infection"
"603","New Hampshire","All Regions","NHW",74.1273100616016,"Infection"
"604","New Jersey","All Regions","NHW",37.9080712623553,"Infection"
"605","New Mexico","All Regions","NHW",16.0652952690475,"Infection"
"606","North Carolina","All Regions","NHW",58.0251949610078,"Infection"
"607","Ohio","All Regions","NHW",63.9351960554121,"Infection"
"608","Oklahoma","All Regions","NHW",70.2759185517806,"Infection"
"609","Oregon","All Regions","NHW",47.5847371625736,"Infection"
"610","Pennsylvania","All Regions","NHW",70.7755574862438,"Infection"
"611","Rhode Island","All Regions","NHW",37.8311922922521,"Infection"
"612","South Carolina","All Regions","NHW",53.548617038239,"Infection"
"613","South Dakota","All Regions","NHW",61.5436151681629,"Infection"
"614","Tennessee","All Regions","NHW",63.7565903280847,"Infection"
"615","Texas","All Regions","NHW",33.9128035320088,"Infection"
"616","Utah","All Regions","NHW",53.8088874039425,"Infection"
"617","Vermont","All Regions","NHW",83.9357429718875,"Infection"
"618","Virginia","All Regions","NHW",36.8662213086673,"Infection"
"619","Washington","All Regions","NHW",39.2563508842579,"Infection"
"620","West Virginia","All Regions","NHW",78.2180716809692,"Infection"
"621","Wisconsin","All Regions","NHW",77.4229591532117,"Infection"
"622","Wyoming","All Regions","NHW",68.9009159034138,"Infection"
"623","Alabama","All Regions","NHB",36.5696490339544,"Infection"
"624","Alaska","All Regions","NHB",6.16362192216044,"Infection"
"625","Arizona","All Regions","NHB",4.43857261056396,"Infection"
"626","Arkansas","All Regions","NHB",23.4094376488852,"Infection"
"627","California","All Regions","NHB",4.2668923644618,"Infection"
"628","Colorado","All Regions","NHB",5.02242459515903,"Infection"
"629","Connecticut","All Regions","NHB",18.2975259613724,"Infection"
"630","Delaware","All Regions","NHB",28.7045813586098,"Infection"
"631","District of Columbia","All Regions","NHB",50.8521237545884,"Infection"
"632","Florida","All Regions","NHB",19.3648875185224,"Infection"
"633","Georgia","All Regions","NHB",34.9873737373737,"Infection"
"634","Hawaii","All Regions","NHB",2.4950555301993,"Infection"
"635","Idaho","All Regions","NHB",1.32714717306862,"Infection"
"636","Illinois","All Regions","NHB",18.1049963992379,"Infection"
"637","Indiana","All Regions","NHB",12.0405907137791,"Infection"
"638","Iowa","All Regions","NHB",7.14860407112398,"Infection"
"639","Kansas","All Regions","NHB",8.36692735628477,"Infection"
"640","Kentucky","All Regions","NHB",12.044878132657,"Infection"
"641","Louisiana","All Regions","NHB",40.4426357676964,"Infection"
"642","Maine","All Regions","NHB",19.8901769371568,"Infection"
"643","Maryland","All Regions","NHB",37.3128830879367,"Infection"
"644","Massachusetts","All Regions","NHB",12.9339212546018,"Infection"
"645","Michigan","All Regions","NHB",23.4932338802115,"Infection"
"646","Minnesota","All Regions","NHB",18.7733001952778,"Infection"
"647","Mississippi","All Regions","NHB",45.6218402426694,"Infection"
"648","Missouri","All Regions","NHB",20.5787819207177,"Infection"
"649","Nebraska","All Regions","NHB",6.76371121893839,"Infection"
"650","Nevada","All Regions","NHB",8.30336383252764,"Infection"
"651","New Hampshire","All Regions","NHB",5.22929500342231,"Infection"
"652","New Jersey","All Regions","NHB",16.0048485936834,"Infection"
"653","New Mexico","All Regions","NHB",1.93152860361192,"Infection"
"654","North Carolina","All Regions","NHB",23.2627474505099,"Infection"
"655","Ohio","All Regions","NHB",22.2631486264381,"Infection"
"656","Oklahoma","All Regions","NHB",8.78590188935017,"Infection"
"657","Oregon","All Regions","NHB",3.89012921994452,"Infection"
"658","Pennsylvania","All Regions","NHB",24.1297422531132,"Infection"
"659","Rhode Island","All Regions","NHB",12.3695303091128,"Infection"
"660","South Carolina","All Regions","NHB",36.2008647614403,"Infection"
"661","South Dakota","All Regions","NHB",5.73495913171647,"Infection"
"662","Tennessee","All Regions","NHB",21.0412275574606,"Infection"
"663","Texas","All Regions","NHB",18.8656817795891,"Infection"
"664","Utah","All Regions","NHB",2.23703793700453,"Infection"
"665","Virginia","All Regions","NHB",25.4188078108941,"Infection"
"666","Washington","All Regions","NHB",5.89449310379543,"Infection"
"667","West Virginia","All Regions","NHB",5.80514891468955,"Infection"
"668","Wisconsin","All Regions","NHB",10.1822710097831,"Infection"
"669","Wyoming","All Regions","NHB",1.14487926727727,"Infection"
"670","Alabama","All Regions","Hispanic",8.25637654766651,"Infection"
"671","Alaska","All Regions","Hispanic",11.6123907863384,"Infection"
"672","Arizona","All Regions","Hispanic",44.6226012224091,"Infection"
"673","Arkansas","All Regions","Hispanic",20.1613982495115,"Infection"
"674","California","All Regions","Hispanic",61.0729734563103,"Infection"
"675","Colorado","All Regions","Hispanic",44.2637543222979,"Infection"
"676","Connecticut","All Regions","Hispanic",27.8902839101157,"Infection"
"677","Delaware","All Regions","Hispanic",24.9447077409163,"Infection"
"678","District of Columbia","All Regions","Hispanic",25.3670686942842,"Infection"
"679","Florida","All Regions","Hispanic",37.9881306970409,"Infection"
"680","Georgia","All Regions","Hispanic",17.1851851851852,"Infection"
"681","Idaho","All Regions","Hispanic",26.3199539634585,"Infection"
"682","Illinois","All Regions","Hispanic",34.2145324934594,"Infection"
"683","Indiana","All Regions","Hispanic",10.8036794459972,"Infection"
"684","Iowa","All Regions","Hispanic",15.4893126290664,"Infection"
"685","Kansas","All Regions","Hispanic",29.8959929049424,"Infection"
"686","Kentucky","All Regions","Hispanic",10.0309504363152,"Infection"
"687","Maine","All Regions","Hispanic",4.14887126296522,"Infection"
"688","Maryland","All Regions","Hispanic",25.4630110593769,"Infection"
"689","Massachusetts","All Regions","Hispanic",31.7352690363776,"Infection"
"690","Michigan","All Regions","Hispanic",8.53164080543343,"Infection"
"691","Minnesota","All Regions","Hispanic",16.9847328244275,"Infection"
"692","Mississippi","All Regions","Hispanic",3.43305775292928,"Infection"
"693","Missouri","All Regions","Hispanic",9.48703156457139,"Infection"
"694","Nebraska","All Regions","Hispanic",35.288928098809,"Infection"
"695","Nevada","All Regions","Hispanic",45.2503219978924,"Infection"
"696","New Hampshire","All Regions","Hispanic",14.0041067761807,"Infection"
"697","New Jersey","All Regions","Hispanic",29.3826273691142,"Infection"
"698","New Mexico","All Regions","Hispanic",49.6546884809986,"Infection"
"699","North Carolina","All Regions","Hispanic",28.3413317336533,"Infection"
"700","Ohio","All Regions","Hispanic",6.829654848556,"Infection"
"701","Oklahoma","All Regions","Hispanic",20.0401027987235,"Infection"
"702","Oregon","All Regions","Hispanic",43.7182869900548,"Infection"
"703","Pennsylvania","All Regions","Hispanic",15.0570518389806,"Infection"
"704","Rhode Island","All Regions","Hispanic",45.1224407868326,"Infection"
"705","South Carolina","All Regions","Hispanic",10.9023719974864,"Infection"
"706","South Dakota","All Regions","Hispanic",6.9543079190674,"Infection"
"707","Tennessee","All Regions","Hispanic",14.943587381994,"Infection"
"708","Texas","All Regions","Hispanic",45.0076413652573,"Infection"
"709","Utah","All Regions","Hispanic",35.2139841448228,"Infection"
"710","Vermont","All Regions","Hispanic",3.38496844520941,"Infection"
"711","Virginia","All Regions","Hispanic",29.7987324426173,"Infection"
"712","Washington","All Regions","Hispanic",41.2379610054029,"Infection"
"713","Wisconsin","All Regions","Hispanic",18.0019276204123,"Infection"
"714","Wyoming","All Regions","Hispanic",14.5920066611157,"Infection"
"715","Alabama","All Regions","NHA",0.59266602730574,"Infection"
"716","Alaska","All Regions","NHA",5.3693407466243,"Infection"
"717","Arizona","All Regions","NHA",1.50665919342355,"Infection"
"718","Arkansas","All Regions","NHA",1.29145365488076,"Infection"
"719","California","All Regions","NHA",5.52758925362141,"Infection"
"720","Colorado","All Regions","NHA",2.29381355061796,"Infection"
"721","Connecticut","All Regions","NHA",2.07937643373375,"Infection"
"722","Delaware","All Regions","NHA",1.43233280674039,"Infection"
"723","District of Columbia","All Regions","NHA",1.6255899318301,"Infection"
"724","Georgia","All Regions","NHA",2.13425925925926,"Infection"
"725","Hawaii","All Regions","NHA",35.2350524874487,"Infection"
"726","Idaho","All Regions","NHA",1.10775427995972,"Infection"
"727","Illinois","All Regions","NHA",2.99957155489111,"Infection"
"728","Indiana","All Regions","NHA",1.42776688498602,"Infection"
"729","Iowa","All Regions","NHA",3.57363156059753,"Infection"
"730","Kansas","All Regions","NHA",3.02547770700637,"Infection"
"731","Kentucky","All Regions","NHA",1.1090573012939,"Infection"
"732","Louisiana","All Regions","NHA",5.55833984857901,"Infection"
"733","Maine","All Regions","NHA",2.39983729916616,"Infection"
"734","Maryland","All Regions","NHA",2.22981970665735,"Infection"
"735","Massachusetts","All Regions","NHA",3.08450674930843,"Infection"
"736","Michigan","All Regions","NHA",2.25223683985424,"Infection"
"737","Minnesota","All Regions","NHA",5.84169181608379,"Infection"
"738","Mississippi","All Regions","NHA",0.421102718134777,"Infection"
"739","Missouri","All Regions","NHA",1.23267833806233,"Infection"
"740","Nebraska","All Regions","NHA",4.70519041317453,"Infection"
"741","Nevada","All Regions","NHA",7.62591372129201,"Infection"
"742","New Hampshire","All Regions","NHA",3.08008213552361,"Infection"
"743","New Jersey","All Regions","NHA",5.03116418625184,"Infection"
"744","New Mexico","All Regions","NHA",0.749713779222218,"Infection"
"745","North Carolina","All Regions","NHA",1.94361127774445,"Infection"
"746","Ohio","All Regions","NHA",2.80142052124912,"Infection"
"747","Oklahoma","All Regions","NHA",4.01734022423678,"Infection"
"748","Oregon","All Regions","NHA",3.30491847642243,"Infection"
"749","Pennsylvania","All Regions","NHA",3.30958586736171,"Infection"
"750","Rhode Island","All Regions","NHA",1.94700923323966,"Infection"
"751","South Carolina","All Regions","NHA",1.31683846218779,"Infection"
"752","South Dakota","All Regions","NHA",3.60444861315825,"Infection"
"753","Tennessee","All Regions","NHA",1.07216446152665,"Infection"
"754","Texas","All Regions","NHA",1.70020376974019,"Infection"
"755","Utah","All Regions","NHA",2.51344045196367,"Infection"
"756","Vermont","All Regions","NHA",3.78657487091222,"Infection"
"757","Virginia","All Regions","NHA",3.87375813634806,"Infection"
"758","Washington","All Regions","NHA",4.8994932715863,"Infection"
"759","Wisconsin","All Regions","NHA",2.56731745178817,"Infection"
"760","Wyoming","All Regions","NHA",0.728559533721898,"Infection"
"761","Alabama","South","NHW",56.1715028150715,"Mortality"
"762","Alaska","West","NHW",41.8181818181818,"Mortality"
"763","Arizona","West","NHW",47.1502590673575,"Mortality"
"764","Arkansas","South","NHW",67.0741646291769,"Mortality"
"765","California","West","NHW",30.020623872132,"Mortality"
"766","Colorado","West","NHW",63.6694386694387,"Mortality"
"767","Connecticut","Northeast","NHW",73.8020600089566,"Mortality"
"768","Delaware","South","NHW",64.622641509434,"Mortality"
"769","District of Columbia","South","NHW",10.7890499194847,"Mortality"
"770","Florida","South","NHW",49.9380601909204,"Mortality"
"771","Georgia","South","NHW",50.0504977636705,"Mortality"
"772","Hawaii","West","NHW",10.077519379845,"Mortality"
"773","Idaho","West","NHW",95.6896551724138,"Mortality"
"774","Illinois","Midwest","NHW",48.4240018678496,"Mortality"
"775","Indiana","Midwest","NHW",70.9860935524652,"Mortality"
"776","Iowa","Midwest","NHW",91.1148365465214,"Mortality"
"777","Kansas","Midwest","NHW",75.9811616954474,"Mortality"
"778","Kentucky","South","NHW",83.5820895522388,"Mortality"
"779","Louisiana","South","NHW",52.6167168674699,"Mortality"
"780","Maine","Northeast","NHW",96.8,"Mortality"
"781","Maryland","South","NHW",42.7120365667852,"Mortality"
"782","Massachusetts","Northeast","NHW",76.0080859665922,"Mortality"
"783","Michigan","Midwest","NHW",55.8456628952713,"Mortality"
"784","Minnesota","Midwest","NHW",77.9861796643633,"Mortality"
"785","Mississippi","South","NHW",47.1074380165289,"Mortality"
"786","Missouri","Midwest","NHW",66.3650075414781,"Mortality"
"787","Montana","West","NHW",62.992125984252,"Mortality"
"788","Nebraska","Midwest","NHW",83.3333333333333,"Mortality"
"789","Nevada","West","NHW",50.6035283194058,"Mortality"
"790","New Hampshire","Northeast","NHW",93.9252336448598,"Mortality"
"791","New Jersey","Northeast","NHW",54.3912933434573,"Mortality"
"792","New Mexico","West","NHW",24.0549828178694,"Mortality"
"793","North Carolina","South","NHW",60.3151010701546,"Mortality"
"794","Ohio","Midwest","NHW",78.5109983079526,"Mortality"
"795","Oklahoma","South","NHW",76.6666666666667,"Mortality"
"796","Oregon","West","NHW",75,"Mortality"
"797","Pennsylvania","Northeast","NHW",72.5529018685806,"Mortality"
"798","Rhode Island","Northeast","NHW",80.5280528052805,"Mortality"
"799","South Carolina","South","NHW",56.3472846765825,"Mortality"
"800","South Dakota","Midwest","NHW",66.8161434977578,"Mortality"
"801","Tennessee","South","NHW",67.2258592471358,"Mortality"
"802","Texas","South","NHW",30.1465320742429,"Mortality"
"803","Utah","West","NHW",55.0691244239631,"Mortality"
"804","Vermont","Northeast","NHW",94.8275862068966,"Mortality"
"805","Virginia","South","NHW",56.3166397415186,"Mortality"
"806","Washington","West","NHW",67.7527551509343,"Mortality"
"807","West Virginia","South","NHW",82.9479768786127,"Mortality"
"808","Wisconsin","Midwest","NHW",76.0456273764259,"Mortality"
"809","Wyoming","West","NHW",56.0975609756098,"Mortality"
"810","Alabama","South","NHB",41.0134257254223,"Mortality"
"811","Alaska","West","NHB",3.63636363636364,"Mortality"
"812","Arizona","West","NHB",3.56715823037067,"Mortality"
"813","Arkansas","South","NHB",21.841890790546,"Mortality"
"814","California","West","NHB",7.64372260891982,"Mortality"
"815","Colorado","West","NHB",6.39293139293139,"Mortality"
"816","Connecticut","Northeast","NHB",14.8231079265562,"Mortality"
"817","Delaware","South","NHB",25.6289308176101,"Mortality"
"818","District of Columbia","South","NHB",75.2012882447665,"Mortality"
"819","Florida","South","NHB",19.0847482328937,"Mortality"
"820","Georgia","South","NHB",41.3793103448276,"Mortality"
"821","Hawaii","West","NHB",3.87596899224806,"Mortality"
"822","Idaho","West","NHB",0.862068965517241,"Mortality"
"823","Illinois","Midwest","NHB",25.9864580901237,"Mortality"
"824","Indiana","Midwest","NHB",14.1908975979772,"Mortality"
"825","Iowa","Midwest","NHB",4.27493713327745,"Mortality"
"826","Kansas","Midwest","NHB",13.6577708006279,"Mortality"
"827","Kentucky","South","NHB",12.8731343283582,"Mortality"
"828","Louisiana","South","NHB",45.8960843373494,"Mortality"
"829","Maine","Northeast","NHB",3.2,"Mortality"
"830","Maryland","South","NHB",40.9344845099035,"Mortality"
"831","Massachusetts","Northeast","NHB",8.14980317055006,"Mortality"
"832","Michigan","Midwest","NHB",39.0049318247752,"Mortality"
"833","Minnesota","Midwest","NHB",9.6248766041461,"Mortality"
"834","Mississippi","South","NHB",47.1418732782369,"Mortality"
"835","Missouri","Midwest","NHB",28.9592760180996,"Mortality"
"836","Nebraska","Midwest","NHB",7.43243243243243,"Mortality"
"837","Nevada","West","NHB",12.2562674094708,"Mortality"
"838","New Hampshire","Northeast","NHB",2.10280373831776,"Mortality"
"839","New Jersey","Northeast","NHB",18.0397367754999,"Mortality"
"840","New Mexico","West","NHB",1.1454753722795,"Mortality"
"841","North Carolina","South","NHB",30.1426872770511,"Mortality"
"842","Ohio","Midwest","NHB",18.2106598984772,"Mortality"
"843","Oklahoma","South","NHB",6.875,"Mortality"
"844","Oregon","West","NHB",2.64227642276423,"Mortality"
"845","Pennsylvania","Northeast","NHB",20.6410097760178,"Mortality"
"846","Rhode Island","Northeast","NHB",6.16061606160616,"Mortality"
"847","South Carolina","South","NHB",40.7817364233829,"Mortality"
"848","South Dakota","Midwest","NHB",0.896860986547085,"Mortality"
"849","Tennessee","South","NHB",27.291325695581,"Mortality"
"850","Texas","South","NHB",11.3187886681863,"Mortality"
"851","Utah","West","NHB",1.61290322580645,"Mortality"
"852","Virginia","South","NHB",26.9789983844911,"Mortality"
"853","Washington","West","NHB",3.30618112122664,"Mortality"
"854","West Virginia","South","NHB",2.60115606936416,"Mortality"
"855","Wisconsin","Midwest","NHB",18.0228136882129,"Mortality"
"856","Wyoming","West","NHB",2.4390243902439,"Mortality"
"857","Alabama","South","Hispanic",2.94499783456042,"Mortality"
"858","Alaska","West","Hispanic",1.81818181818182,"Mortality"
"859","Arizona","West","Hispanic",34.1968911917098,"Mortality"
"860","Arkansas","South","Hispanic",7.09046454767726,"Mortality"
"861","California","West","Hispanic",48.2985305491106,"Mortality"
"862","Colorado","West","Hispanic",23.6486486486486,"Mortality"
"863","Connecticut","Northeast","Hispanic",8.97895208240036,"Mortality"
"864","Delaware","South","Hispanic",7.70440251572327,"Mortality"
"865","District of Columbia","South","Hispanic",12.7214170692432,"Mortality"
"866","Florida","South","Hispanic",26.6632660496976,"Mortality"
"867","Georgia","South","Hispanic",6.20401096522868,"Mortality"
"868","Idaho","West","Hispanic",12.2844827586207,"Mortality"
"869","Illinois","Midwest","Hispanic",20.3245388746206,"Mortality"
"870","Indiana","Midwest","Hispanic",2.4968394437421,"Mortality"
"871","Iowa","Midwest","Hispanic",6.20284995808885,"Mortality"
"872","Kansas","Midwest","Hispanic",14.5996860282575,"Mortality"
"873","Kentucky","South","Hispanic",3.45149253731343,"Mortality"
"874","Maine","Northeast","Hispanic",0,"Mortality"
"875","Maryland","South","Hispanic",11.5033011681056,"Mortality"
"876","Massachusetts","Northeast","Hispanic",6.93690818172146,"Mortality"
"877","Michigan","Midwest","Hispanic",2.93008413112852,"Mortality"
"878","Minnesota","Midwest","Hispanic",4.78775913129319,"Mortality"
"879","Mississippi","South","Hispanic",1.30853994490358,"Mortality"
"880","Missouri","Midwest","Hispanic",3.46907993966818,"Mortality"
"881","Nebraska","Midwest","Hispanic",20.4954954954955,"Mortality"
"882","Nevada","West","Hispanic",23.4911792014856,"Mortality"
"883","New Hampshire","Northeast","Hispanic",2.80373831775701,"Mortality"
"884","New Jersey","Northeast","Hispanic",20.1467982789167,"Mortality"
"885","New Mexico","West","Hispanic",24.2840778923253,"Mortality"
"886","North Carolina","South","Hispanic",8.76932223543401,"Mortality"
"887","Ohio","Midwest","Hispanic",2.22081218274112,"Mortality"
"888","Oklahoma","South","Hispanic",6.66666666666667,"Mortality"
"889","Oregon","West","Hispanic",15.8536585365854,"Mortality"
"890","Pennsylvania","Northeast","Hispanic",5.84086127954461,"Mortality"
"891","Rhode Island","Northeast","Hispanic",11.6611661166117,"Mortality"
"892","South Carolina","South","Hispanic",3.59737115185057,"Mortality"
"893","South Dakota","Midwest","Hispanic",2.69058295964126,"Mortality"
"894","Tennessee","South","Hispanic",6.09656301145663,"Mortality"
"895","Texas","South","Hispanic",56.125040703354,"Mortality"
"896","Utah","West","Hispanic",23.5023041474654,"Mortality"
"897","Vermont","Northeast","Hispanic",0,"Mortality"
"898","Virginia","South","Hispanic",9.98384491114701,"Mortality"
"899","Washington","West","Hispanic",14.1351221849545,"Mortality"
"900","Wisconsin","Midwest","Hispanic",11.6349809885932,"Mortality"
"901","Wyoming","West","Hispanic",4.8780487804878,"Mortality"
"902","Alabama","South","NHA",0.346470333477696,"Mortality"
"903","Alaska","West","NHA",7.27272727272727,"Mortality"
"904","Arizona","West","NHA",1.31526504583499,"Mortality"
"905","Arkansas","South","NHA",1.3039934800326,"Mortality"
"906","California","West","NHA",11.7813869554009,"Mortality"
"907","Colorado","West","NHA",3.22245322245322,"Mortality"
"908","Connecticut","Northeast","NHA",1.09717868338558,"Mortality"
"909","Delaware","South","NHA",0.157232704402516,"Mortality"
"910","District of Columbia","South","NHA",1.28824476650564,"Mortality"
"911","Georgia","South","NHA",1.87563122204588,"Mortality"
"912","Hawaii","West","NHA",55.0387596899225,"Mortality"
"913","Idaho","West","NHA",0.646551724137931,"Mortality"
"914","Illinois","Midwest","NHA",4.45949101097362,"Mortality"
"915","Indiana","Midwest","NHA",0.56890012642225,"Mortality"
"916","Iowa","Midwest","NHA",2.26320201173512,"Mortality"
"917","Kansas","Midwest","NHA",2.35478806907378,"Mortality"
"918","Kentucky","South","NHA",1.11940298507463,"Mortality"
"919","Louisiana","South","NHA",0.677710843373494,"Mortality"
"920","Maine","Northeast","NHA",0,"Mortality"
"921","Maryland","South","NHA",3.78364652107669,"Mortality"
"922","Massachusetts","Northeast","NHA",2.4896265560166,"Mortality"
"923","Michigan","Midwest","NHA",1.31998839570641,"Mortality"
"924","Minnesota","Midwest","NHA",4.63968410661402,"Mortality"
"925","Mississippi","South","NHA",0.241046831955923,"Mortality"
"926","Missouri","Midwest","NHA",1.20663650075415,"Mortality"
"927","Nebraska","Midwest","NHA",4.05405405405405,"Mortality"
"928","Nevada","West","NHA",12.4419684308264,"Mortality"
"929","New Hampshire","Northeast","NHA",0.934579439252336,"Mortality"
"930","New Jersey","Northeast","NHA",5.51759048342192,"Mortality"
"931","New Mexico","West","NHA",0.458190148911798,"Mortality"
"932","North Carolina","South","NHA",1.33769322235434,"Mortality"
"933","Ohio","Midwest","NHA",1.03637901861252,"Mortality"
"934","Oklahoma","South","NHA",2.5,"Mortality"
"935","Oregon","West","NHA",3.86178861788618,"Mortality"
"936","Pennsylvania","Northeast","NHA",2.06657591882193,"Mortality"
"937","Rhode Island","Northeast","NHA",1.43014301430143,"Mortality"
"938","South Carolina","South","NHA",0.795572466274645,"Mortality"
"939","South Dakota","Midwest","NHA",2.24215246636771,"Mortality"
"940","Tennessee","South","NHA",0.941080196399345,"Mortality"
"941","Texas","South","NHA",1.87561055030935,"Mortality"
"942","Utah","West","NHA",5.52995391705069,"Mortality"
"943","Vermont","Northeast","NHA",3.44827586206897,"Mortality"
"944","Virginia","South","NHA",4.78190630048465,"Mortality"
"945","Washington","West","NHA",7.5227599425012,"Mortality"
"946","Wisconsin","Midwest","NHA",2.73764258555133,"Mortality"
"947","Wyoming","West","NHA",0,"Mortality"
"948","Alabama","All Regions","NHW",56.1715028150715,"Mortality"
"949","Alaska","All Regions","NHW",41.8181818181818,"Mortality"
"950","Arizona","All Regions","NHW",47.1502590673575,"Mortality"
"951","Arkansas","All Regions","NHW",67.0741646291769,"Mortality"
"952","California","All Regions","NHW",30.020623872132,"Mortality"
"953","Colorado","All Regions","NHW",63.6694386694387,"Mortality"
"954","Connecticut","All Regions","NHW",73.8020600089566,"Mortality"
"955","Delaware","All Regions","NHW",64.622641509434,"Mortality"
"956","District of Columbia","All Regions","NHW",10.7890499194847,"Mortality"
"957","Florida","All Regions","NHW",49.9380601909204,"Mortality"
"958","Georgia","All Regions","NHW",50.0504977636705,"Mortality"
"959","Hawaii","All Regions","NHW",10.077519379845,"Mortality"
"960","Idaho","All Regions","NHW",95.6896551724138,"Mortality"
"961","Illinois","All Regions","NHW",48.4240018678496,"Mortality"
"962","Indiana","All Regions","NHW",70.9860935524652,"Mortality"
"963","Iowa","All Regions","NHW",91.1148365465214,"Mortality"
